web-scraper-order,web-scraper-start-url,product_name,price,product_discount
"1705465253-170","https://www.klikindomaret.com/category/Makanan-Instan","Sedaap Mie Instant Ayam Bawang 70G","Rp 3.000",""
"1705465253-171","https://www.klikindomaret.com/category/Makanan-Instan","Sedaap Mie Instant Baso 72G","Rp 5.200",""
"1705465253-172","https://www.klikindomaret.com/category/Makanan-Instan","Sedaap Mie Instant Goreng 5X90g","Rp 15.400",""
"1705465253-173","https://www.klikindomaret.com/category/Makanan-Instan","Sedaap Mie Instant Goreng 85G","Rp 5.500",""
"1705465253-174","https://www.klikindomaret.com/category/Makanan-Instan","Sedaap Mie Instant Goreng 90G","Rp 3.100",""
"1705465253-175","https://www.klikindomaret.com/category/Makanan-Instan","Sedaap Mie Instant Goreng Ayam Krispi 88G","Rp 3.100",""
"1705465253-176","https://www.klikindomaret.com/category/Makanan-Instan","Sedaap Mie Instant Goreng Korean Spicy 87G","Rp 3.100",""
"1705465253-177","https://www.klikindomaret.com/category/Makanan-Instan","Sedaap Mie Instant Kari Ayam 72G","Rp 3.000",""
"1705465253-178","https://www.klikindomaret.com/category/Makanan-Instan","Sedaap Mie Instant Kari Special 81g","Rp 5.200",""
"1705465253-179","https://www.klikindomaret.com/category/Makanan-Instan","Sedaap Mie Instant Kari Spesial 75G","Rp 3.000",""
"1705465253-180","https://www.klikindomaret.com/category/Makanan-Instan","Sedaap Mie Instant Korean Spicy Chicken 81G","Rp 5.500",""
"1705465253-181","https://www.klikindomaret.com/category/Makanan-Instan","Sedaap Mie Instant Singapore Spicy Laksa 83G","Rp 3.000",""
"1705465253-182","https://www.klikindomaret.com/category/Makanan-Instan","Sedaap Mie Instant Soto 75G","Rp 3.000",""
"1705465253-183","https://www.klikindomaret.com/category/Makanan-Instan","Sedaap Mie Instant Soto 81g","Rp 5.200",""
"1705465253-184","https://www.klikindomaret.com/category/Makanan-Instan","Sedaap Mie Mie Instant Ayam Jerit 75G","Rp 5.200",""
"1705465253-185","https://www.klikindomaret.com/category/Makanan-Instan","Sedaap Mie Mie Instant Ayam Nampol 75G","Rp 5.200",""
"1705465253-186","https://www.klikindomaret.com/category/Makanan-Instan","Sedaap Mie Mie Instant Baked Soto 76G","Rp 2.800",""
"1705465253-187","https://www.klikindomaret.com/category/Makanan-Instan","Sedaap Mie Mie Instant Baso Bleduk 77G","Rp 5.200",""
"1705465253-188","https://www.klikindomaret.com/category/Makanan-Instan","Sedaap Mie Mie Instant Goreng Baked 87G","Rp 2.800",""
"1705465253-189","https://www.klikindomaret.com/category/Makanan-Instan","Sedaap Mie Mie Instant Goreng Korean Cheese Buldak 86G","Rp 3.100",""
"1705465253-190","https://www.klikindomaret.com/category/Makanan-Instan","Sedaap Mie Mie Instant Kuah Ayam Jerit 77G","Rp 3.000",""
"1705465253-191","https://www.klikindomaret.com/category/Makanan-Instan","Sedaap Mie Mie Instant Soto Madura 82G","Rp 3.000",""
"1705465253-192","https://www.klikindomaret.com/category/Makanan-Instan","Sedaap Mie Tasty Bakmi Ayam 129G","Rp 5.500",""
"1705465253-193","https://www.klikindomaret.com/category/Makanan-Instan","Sedaap Mie Tasty Bakmi Ayam Beef Yakiniku 115G","Rp 5.500",""
"1705465253-194","https://www.klikindomaret.com/category/Makanan-Instan","Ssf Amoy Flour Vermicelli 120G","Rp 16.500",""
"1705465253-195","https://www.klikindomaret.com/category/Makanan-Instan","Strive Mee Mi Goreng 80G","Rp 14.500",""
"1705465253-196","https://www.klikindomaret.com/category/Makanan-Instan","Strive Mee Mi Instant Ayam Bawang 75G","Rp 14.500",""
"1705465253-197","https://www.klikindomaret.com/category/Makanan-Instan","Sukaku Mi Kering 100G","Rp 2.000",""
"1705465253-198","https://www.klikindomaret.com/category/Makanan-Instan","Sukaku Mi Kering 200G","Rp 3.500",""
"1705465253-199","https://www.klikindomaret.com/category/Makanan-Instan","Sukses's Mie Goreng Isi 2 Ayam Geprek 126G","Rp 4.000",""
"1705465253-200","https://www.klikindomaret.com/category/Makanan-Instan","Sukses's Mie Goreng Isi 2 Ayam Kecap 129G","Rp 4.000",""
"1705465253-201","https://www.klikindomaret.com/category/Makanan-Instan","Sukses's Mie Goreng Isi 2 Ayam Kremes 133G","Rp 4.000",""
"1705465253-202","https://www.klikindomaret.com/category/Makanan-Instan","Sukses's Mie Goreng Isi 2 Rendang 132G","Rp 4.000",""
"1705465253-203","https://www.klikindomaret.com/category/Makanan-Instan","Super Bihun Instant Kuah 70G","Rp 4.500",""
